date,Power_kW,NN_pred
2019-01-14 03:00:00,100.119,112.62596985703091
2019-01-14 04:00:00,104.317,108.73901239860557
2019-01-14 05:00:00,102.756,110.06584117074951
2019-01-14 06:00:00,110.289,96.82749367505335
2019-01-14 07:00:00,159.908,163.3373023178356
2019-01-14 08:00:00,206.337,215.7403289593334
2019-01-14 09:00:00,234.132,254.21351747937973
2019-01-14 10:00:00,263.856,274.0874449073196
2019-01-14 11:00:00,325.615,294.88610891006306
2019-01-14 12:00:00,280.451,345.634148897669
2019-01-14 13:00:00,295.991,297.5848187336438
2019-01-14 14:00:00,304.125,305.3621217837532
2019-01-14 15:00:00,308.112,269.49637500100687
2019-01-14 16:00:00,294.829,263.96580642450465
2019-01-14 17:00:00,269.25,242.63460549996194
2019-01-14 18:00:00,226.608,210.32256234189464
2019-01-14 19:00:00,174.723,178.89170001508649
2019-01-14 20:00:00,155.469,130.76867376832706
2019-01-14 21:00:00,126.818,123.79510034905687
2019-01-14 22:00:00,112.899,113.03193957975851
2019-01-14 23:00:00,111.876,106.12034092101794
2019-01-15 00:00:00,105.547,103.2052055752599
2019-01-15 01:00:00,103.665,104.96279223576455
2019-01-15 02:00:00,106.325,109.04067790859948
2019-01-15 03:00:00,103.032,115.0512967762059
2019-01-15 04:00:00,103.305,111.59176269771498
2019-01-15 05:00:00,108.016,107.99239882792259
2019-01-15 06:00:00,110.193,106.73165632077799
2019-01-15 07:00:00,152.996,167.32840539595858
2019-01-15 08:00:00,207.307,206.9182855957733
2019-01-15 09:00:00,233.902,250.26235431630752
2019-01-15 10:00:00,272.68,269.15886764328775
2019-01-15 11:00:00,350.217,297.2289255263189
2019-01-15 12:00:00,292.871,362.48213445895647
2019-01-15 13:00:00,317.3,302.6166102639212
2019-01-15 14:00:00,305.501,318.101755666226
2019-01-15 15:00:00,310.32,263.06117711756326
2019-01-15 16:00:00,284.119,259.9597759300531
2019-01-15 17:00:00,277.714,228.24467642931927
2019-01-15 18:00:00,236.498,214.87627279550145
2019-01-15 19:00:00,180.431,184.81904023921604
2019-01-15 20:00:00,156.235,135.5466353586089
2019-01-15 21:00:00,126.025,125.4504687119996
2019-01-15 22:00:00,108.66,112.53085288568968
2019-01-15 23:00:00,107.575,103.43376256895174
2019-01-16 00:00:00,102.212,102.72659399742795
2019-01-16 01:00:00,102.703,103.75630079982692
2019-01-16 02:00:00,105.681,108.75775176403327
2019-01-16 03:00:00,103.274,114.64790645522912
2019-01-16 04:00:00,104.021,108.39495464674502
2019-01-16 05:00:00,98.444,104.54817869156768
2019-01-16 06:00:00,110.159,92.42338715075901
2019-01-16 07:00:00,157.657,153.75499779113983
2019-01-16 08:00:00,194.484,207.788169302233
2019-01-16 09:00:00,240.381,234.94156833557167
2019-01-16 10:00:00,272.324,270.3605416892973
2019-01-16 11:00:00,341.5,293.0804025843058
2019-01-16 12:00:00,300.783,349.44153000430896
2019-01-16 13:00:00,325.672,306.3726927079849
2019-01-16 14:00:00,295.274,321.9736451168319
2019-01-16 15:00:00,306.245,250.17230403726742
2019-01-16 16:00:00,291.019,252.98357494279358
2019-01-16 17:00:00,276.015,231.47466269775805
2019-01-16 18:00:00,232.051,210.0896736378925
2019-01-16 19:00:00,186.078,186.25674498788803
2019-01-16 20:00:00,159.965,140.2674257294675
2019-01-16 21:00:00,123.84,130.12028969978047
2019-01-16 22:00:00,114.594,110.93038738651552
2019-01-16 23:00:00,112.045,106.88430471791455
2019-01-17 00:00:00,112.712,107.9256952400546
2019-01-17 01:00:00,108.276,112.01326442219502
2019-01-17 02:00:00,107.548,110.97282122854017
2019-01-17 03:00:00,110.592,113.442709945082
2019-01-17 04:00:00,107.207,113.54217299034025
2019-01-17 05:00:00,106.034,105.59138215464469
2019-01-17 06:00:00,115.357,101.63562661766103
2019-01-17 07:00:00,157.098,154.19699071198022
2019-01-17 08:00:00,202.047,204.93297560583582
2019-01-17 09:00:00,238.721,239.57787857326724
2019-01-17 10:00:00,269.526,268.44626521940086
2019-01-17 11:00:00,346.606,290.05797326733625
2019-01-17 12:00:00,285.645,350.0516954325798
2019-01-17 13:00:00,303.504,291.13177363124674
2019-01-17 14:00:00,301.837,300.4281631078266
2019-01-17 15:00:00,309.887,254.4073014998023
2019-01-17 16:00:00,284.652,253.67701062246138
2019-01-17 17:00:00,265.382,221.86623024329077
2019-01-17 18:00:00,232.572,200.20053964909246
2019-01-17 19:00:00,174.808,189.94646806763996
2019-01-17 20:00:00,157.979,136.70383375903234
2019-01-17 21:00:00,125.143,128.8121994154289
2019-01-17 22:00:00,115.932,111.48800986966415
2019-01-17 23:00:00,102.316,107.47486128253819
2019-01-18 00:00:00,105.133,96.02701572747897
2019-01-18 01:00:00,108.978,102.0051733159897
2019-01-18 02:00:00,104.535,109.07670577510306
2019-01-18 03:00:00,109.848,107.15481183837358
2019-01-18 04:00:00,102.124,109.37176168718825
2019-01-18 05:00:00,104.071,96.51077210637348
2019-01-18 06:00:00,112.731,102.08438950918173
2019-01-18 07:00:00,152.41,138.71543987217427
2019-01-18 08:00:00,202.649,187.58463157095605
2019-01-18 09:00:00,240.12,234.62262341188728
2019-01-18 10:00:00,268.862,265.0995721136159
2019-01-18 11:00:00,342.639,286.82199850067167
2019-01-18 12:00:00,288.543,342.6314540466556
2019-01-18 13:00:00,298.233,290.8598502393695
2019-01-18 14:00:00,297.532,292.0092239752058
2019-01-18 15:00:00,295.374,245.8027307627612
2019-01-18 16:00:00,273.328,234.91669212063303
2019-01-18 17:00:00,253.069,207.12423945016113
2019-01-18 18:00:00,221.797,197.77287895708497
2019-01-18 19:00:00,160.356,186.49520339747244
2019-01-18 20:00:00,142.911,129.13172874636805
2019-01-18 21:00:00,117.48,120.44627516644591
2019-01-18 22:00:00,109.641,107.32048216720578
2019-01-18 23:00:00,105.363,104.09710178737178
2019-01-19 00:00:00,106.896,98.1329294775793
2019-01-19 01:00:00,102.281,102.80214740065581
2019-01-19 02:00:00,102.128,101.26399580604928
2019-01-19 03:00:00,103.738,102.17502281969372
2019-01-19 04:00:00,99.617,99.02038787426025
2019-01-19 05:00:00,103.055,96.52185702393912
2019-01-19 06:00:00,99.943,103.91280537359326
2019-01-19 07:00:00,110.523,114.46088295445686
2019-01-19 08:00:00,118.979,123.18063629057562
